Datetime,Open,High,Low,Close,Volume
2025-08-28T06:00:00.000+0000,113.47,113.74,113.17,113.41,16092.383
2025-08-28T08:00:00.000+0000,113.46,114.06,113.11,113.32,6111.207
2025-08-28T10:00:00.000+0000,113.31,113.63,113.03,113.46,994.384
2025-08-28T12:00:00.000+0000,113.49,114.17,113.21,113.49,3324.071
2025-08-28T14:00:00.000+0000,113.56,114.61,112.24,112.55,6452.162
2025-08-28T16:00:00.000+0000,112.62,113.41,111.44,112.57,4470.043
2025-08-28T18:00:00.000+0000,112.57,112.9,111.73,111.73,1292.756
2025-08-28T20:00:00.000+0000,111.74,113.05,111.63,113.05,1832.852
2025-08-28T22:00:00.000+0000,113.05,113.91,113.05,113.7,1012.084
2025-08-29T00:00:00.000+0000,113.65,113.8,112.36,112.56,7831.123
2025-08-29T02:00:00.000+0000,112.53,113.52,112.41,113.26,2089.288
2025-08-29T04:00:00.000+0000,113.24,113.44,112.47,112.82,5108.148
2025-08-29T06:00:00.000+0000,112.84,112.94,110.13,110.39,9217.152
2025-08-29T08:00:00.000+0000,110.4,110.77,108.88,110.28,4694.186
2025-08-29T10:00:00.000+0000,110.26,110.57,109.81,110.01,2374.018
2025-08-29T12:00:00.000+0000,110.01,112.07,109.21,109.95,7392.827
2025-08-29T14:00:00.000+0000,109.95,110.62,108.76,109.98,15728.562
2025-08-29T16:00:00.000+0000,109.94,110.3,109.25,109.52,1691.785
2025-08-29T18:00:00.000+0000,109.47,110.01,108.66,109.57,1995.735
2025-08-29T20:00:00.000+0000,109.61,110.16,109.06,109.91,5320.546
2025-08-29T22:00:00.000+0000,109.89,110.1,109.44,109.88,1465.568
2025-08-30T00:00:00.000+0000,109.94,110.01,108.35,108.41,5936.541
2025-08-30T02:00:00.000+0000,108.47,110.9,108.32,110.61,6056.418
2025-08-30T04:00:00.000+0000,110.63,110.87,110.29,110.59,1237.01
2025-08-30T06:00:00.000+0000,110.64,110.79,110.42,110.69,706.371
2025-08-30T08:00:00.000+0000,110.71,111.25,110.48,110.73,1855.092
2025-08-30T10:00:00.000+0000,110.71,111.19,110.24,110.52,1387.881
2025-08-30T12:00:00.000+0000,110.55,110.57,109.32,109.87,1014.65
2025-08-30T14:00:00.000+0000,109.94,110.61,109.45,110.61,1580.522
2025-08-30T16:00:00.000+0000,110.6,110.75,109.85,110.04,860.288
2025-08-30T18:00:00.000+0000,110.03,110.31,109.7,110.24,513.439
2025-08-30T20:00:00.000+0000,110.26,110.26,109.72,110.03,763.414
2025-08-30T22:00:00.000+0000,110.02,110.96,109.84,110.83,1783.726
2025-08-31T00:00:00.000+0000,110.84,111.73,110.84,111.62,1795.243
2025-08-31T02:00:00.000+0000,111.57,111.86,111.39,111.79,626.153
2025-08-31T04:00:00.000+0000,111.87,111.91,110.89,111.02,479.644
2025-08-31T06:00:00.000+0000,111.07,111.2,110.77,111.12,455.138
2025-08-31T08:00:00.000+0000,111.13,111.85,111.13,111.3,925.708
2025-08-31T10:00:00.000+0000,111.31,111.49,110.88,111.35,1059.268
2025-08-31T12:00:00.000+0000,111.35,111.38,110.82,110.98,971.066
2025-08-31T14:00:00.000+0000,111.01,111.03,110.18,110.77,1195.098
2025-08-31T16:00:00.000+0000,110.72,110.72,110.08,110.34,1012.49
2025-08-31T18:00:00.000+0000,110.33,110.81,110.18,110.2,934.013
2025-08-31T20:00:00.000+0000,110.23,110.61,110.1,110.44,1059.819
2025-08-31T22:00:00.000+0000,110.38,110.43,108.78,108.86,2876.159
2025-09-01T00:00:00.000+0000,108.89,109.29,107.97,108.79,3726.169
2025-09-01T02:00:00.000+0000,108.83,108.84,107.37,108.14,5229.386
2025-09-01T04:00:00.000+0000,108.06,108.26,107.26,108.11,6013.716
2025-09-01T06:00:00.000+0000,108.11,110.52,107.64,110.5,7425.928
2025-09-01T08:00:00.000+0000,110.53,111.35,110.32,110.35,9608.232
2025-09-01T10:00:00.000+0000,110.39,110.48,109.22,109.49,11200.942
2025-09-01T12:00:00.000+0000,109.51,110.56,109.39,110.0,6194.016
2025-09-01T14:00:00.000+0000,110.05,110.32,109.27,109.53,5301.567
2025-09-01T16:00:00.000+0000,109.55,109.61,108.33,108.48,6140.39
2025-09-01T18:00:00.000+0000,108.48,109.58,108.48,109.35,6170.54
